,MSE,RMSE,MAE,MAPE,R2
Light Gradient Boosting Method (LGBM),0.44271492664120465,0.665368263926981,0.33486196855839406,5.067778781452411,0.6845138922420917
Linear Regression,2.2430516637538194,1.4976820970265416,0.5066669315339746,5.325287138864206,-0.5984363668657247
Stochastic Gradient Descent (SGDR),1.191063836322021,1.0913587111129048,0.4957927928901936,5.23994496247777,0.1512278642527627
